time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
6.0,0.8999999759999999,347.0,24.22467804,0.087469511,-79.78139779,40.45804747,269.3873572,0.001802584,0.005636989,-0.255484492,0.966795087,-0.012112388,-0.003068879,0.020846287,-0.000178247,0.001590232,0.005178171,0.001543418,-0.127600306,-9.809919308
6.2,1.0,352.0,24.22718048,0.103373058,-79.78139777999999,40.45804747,269.3976893,0.001803125,0.00564524,-0.255485743,0.966794729,-0.007900465,-0.0015084579999999,0.021185696,0.000426811,0.002405973,0.00602666,0.002910629,-0.12563894,-9.808893707
6.3,1.100000024,357.0,24.21340942,0.174939021,-79.78139779,40.45804747,269.3998227,0.001803125,0.00564524,-0.255485743,0.966794729,-0.00917635,-0.001695798,0.021288232,-0.001247366,0.00161749,-0.003297748,0.005799738,-0.120362869,-9.81203717
6.5,1.200000048,0.0,24.21841621,0.166987255,-79.78139779,40.45804745,269.4117312,0.00181146,0.005648197,-0.255480498,0.9667961,-0.00772626,-0.00749857,0.02125694,-0.00240528,-0.00187119,-0.004027273,0.006365051,-0.122813931,-9.812081609
6.6,1.200000048,5.0,24.21591187,0.13518016,-79.7813978,40.45804744,269.4138665,0.00181146,0.005648197,-0.255480498,0.9667961,-0.007583261,-0.0071818219999999,0.021367299,0.002217288,0.000780805,0.004193144,0.004612447,-0.121317089,-9.809031116
6.8,1.299999952,8.0,24.19963646,0.151083708,-79.78139777,40.45804744,269.42691510000003,0.001809821,0.00565371,-0.255485058,0.966794848,-0.006210184,-0.004827514,0.021473928,0.003016952,-0.000123628,0.002477221,0.005154188,-0.12020377,-9.809963747
6.9,1.200000048,8.0,24.2121563,0.166987255,-79.78139777999999,40.45804744,269.42906989999994,0.001809821,0.00565371,-0.255485058,0.966794848,-0.007676581,-0.005094024,0.021443062,0.001644917,-0.00108169,-0.0055025,0.004521821,-0.125410223,-9.810998704
7.1,1.200000048,9.0,24.22092056,0.151083708,-79.78139779,40.45804743,269.4437837,0.001810851,0.005650538,-0.255483925,0.966795146,-0.012947646,-0.006780819,0.021487683,-0.001159001,-0.000999457,-0.007149255,0.00545413,-0.124199027,-9.811265337
7.2,1.100000024,6.0,24.21841621,0.206746116,-79.78139775,40.45804743,269.4580287,0.001810568,0.005655601,-0.255485803,0.96679461,-0.011148708,-0.005562604,0.021983377,0.002459871,0.000628651,0.00209627,0.004942725,-0.125830656,-9.811004552
7.4,1.100000024,11.0,24.20965195,0.159035474,-79.78139777999999,40.45804743,269.4624481,0.001810568,0.005655601,-0.255485803,0.96679461,-0.012502415,-0.00546013,0.022089429,-0.0008731619999999,-0.000443725,0.002288804,0.005916613,-0.117665439,-9.809625193
